threshold,precision,recall,f2,alert_rate,split
0.01,0.05827505827505827,1.0,0.23629489603024575,1.0,evaluation
0.02,0.13733905579399142,0.96,0.4367606915377616,0.40734265734265734,evaluation
0.03,0.17973231357552583,0.94,0.5092091007583965,0.30477855477855476,evaluation
0.04,0.21076233183856502,0.94,0.5555555555555556,0.25990675990675993,evaluation
0.05,0.22249388753056235,0.91,0.5624227441285538,0.23834498834498835,evaluation
0.06,0.2297650130548303,0.88,0.561941251596424,0.22319347319347319,evaluation
0.07,0.2443820224719101,0.87,0.5753968253968254,0.20745920745920746,evaluation
0.08,0.25970149253731345,0.87,0.5918367346938775,0.19522144522144522,evaluation
0.09,0.2744479495268139,0.87,0.606694560669456,0.18473193473193472,evaluation
0.1,0.28378378378378377,0.84,0.603448275862069,0.17249417249417248,evaluation
0.11,0.29411764705882354,0.8,0.5952380952380952,0.1585081585081585,evaluation
0.12,0.3031496062992126,0.77,0.5886850152905199,0.14801864801864803,evaluation
0.13,0.32340425531914896,0.76,0.5984251968503937,0.13694638694638694,evaluation
0.14,0.34579439252336447,0.74,0.6026058631921825,0.1247086247086247,evaluation
0.15,0.3520408163265306,0.69,0.5788590604026845,0.11421911421911422,evaluation
0.16,0.3532608695652174,0.65,0.5565068493150684,0.10722610722610723,evaluation
0.17,0.3563218390804598,0.62,0.5400696864111498,0.10139860139860139,evaluation
0.18,0.38125,0.61,0.5446428571428571,0.09324009324009325,evaluation
0.19,0.3881578947368421,0.59,0.5344202898550725,0.08857808857808858,evaluation
0.2,0.39855072463768115,0.55,0.5111524163568774,0.08041958041958042,evaluation
0.21,0.40601503759398494,0.54,0.5065666041275797,0.0775058275058275,evaluation
0.22,0.4132231404958678,0.5,0.4798464491362764,0.07051282051282051,evaluation
0.23,0.42452830188679247,0.45,0.44466403162055335,0.06177156177156177,evaluation
0.24,0.4945054945054945,0.45,0.45824847250509165,0.05303030303030303,evaluation
0.25,0.5512820512820513,0.43,0.4497907949790795,0.045454545454545456,evaluation
0.26,0.5645161290322581,0.35,0.3787878787878788,0.03613053613053613,evaluation
0.27,0.6296296296296297,0.34,0.3744493392070485,0.03146853146853147,evaluation
0.28,0.6444444444444445,0.29,0.3258426966292135,0.026223776223776224,evaluation
0.29,0.6206896551724138,0.18,0.2097902097902098,0.0168997668997669,evaluation
0.3,0.6666666666666666,0.08,0.0970873786407767,0.006993006993006993,evaluation
0.31,0.0,0.0,0.0,0.0,evaluation
0.32,0.0,0.0,0.0,0.0,evaluation
0.33,0.0,0.0,0.0,0.0,evaluation
0.34,0.0,0.0,0.0,0.0,evaluation
0.35,0.0,0.0,0.0,0.0,evaluation
0.36,0.0,0.0,0.0,0.0,evaluation
0.37,0.0,0.0,0.0,0.0,evaluation
0.38,0.0,0.0,0.0,0.0,evaluation
0.39,0.0,0.0,0.0,0.0,evaluation
0.4,0.0,0.0,0.0,0.0,evaluation
0.41,0.0,0.0,0.0,0.0,evaluation
0.42,0.0,0.0,0.0,0.0,evaluation
0.43,0.0,0.0,0.0,0.0,evaluation
0.44,0.0,0.0,0.0,0.0,evaluation
0.45,0.0,0.0,0.0,0.0,evaluation
0.46,0.0,0.0,0.0,0.0,evaluation
0.47,0.0,0.0,0.0,0.0,evaluation
0.48,0.0,0.0,0.0,0.0,evaluation
0.49,0.0,0.0,0.0,0.0,evaluation
0.5,0.0,0.0,0.0,0.0,evaluation
0.51,0.0,0.0,0.0,0.0,evaluation
0.52,0.0,0.0,0.0,0.0,evaluation
0.53,0.0,0.0,0.0,0.0,evaluation
0.54,0.0,0.0,0.0,0.0,evaluation
0.55,0.0,0.0,0.0,0.0,evaluation
0.56,0.0,0.0,0.0,0.0,evaluation
0.57,0.0,0.0,0.0,0.0,evaluation
0.58,0.0,0.0,0.0,0.0,evaluation
0.59,0.0,0.0,0.0,0.0,evaluation
0.6,0.0,0.0,0.0,0.0,evaluation
0.61,0.0,0.0,0.0,0.0,evaluation
0.62,0.0,0.0,0.0,0.0,evaluation
0.63,0.0,0.0,0.0,0.0,evaluation
0.64,0.0,0.0,0.0,0.0,evaluation
0.65,0.0,0.0,0.0,0.0,evaluation
0.66,0.0,0.0,0.0,0.0,evaluation
0.67,0.0,0.0,0.0,0.0,evaluation
0.68,0.0,0.0,0.0,0.0,evaluation
0.69,0.0,0.0,0.0,0.0,evaluation
0.7,0.0,0.0,0.0,0.0,evaluation
0.71,0.0,0.0,0.0,0.0,evaluation
0.72,0.0,0.0,0.0,0.0,evaluation
0.73,0.0,0.0,0.0,0.0,evaluation
0.74,0.0,0.0,0.0,0.0,evaluation
0.75,0.0,0.0,0.0,0.0,evaluation
0.76,0.0,0.0,0.0,0.0,evaluation
0.77,0.0,0.0,0.0,0.0,evaluation
0.78,0.0,0.0,0.0,0.0,evaluation
0.79,0.0,0.0,0.0,0.0,evaluation
0.8,0.0,0.0,0.0,0.0,evaluation
0.81,0.0,0.0,0.0,0.0,evaluation
0.82,0.0,0.0,0.0,0.0,evaluation
0.83,0.0,0.0,0.0,0.0,evaluation
0.84,0.0,0.0,0.0,0.0,evaluation
0.85,0.0,0.0,0.0,0.0,evaluation
0.86,0.0,0.0,0.0,0.0,evaluation
0.87,0.0,0.0,0.0,0.0,evaluation
0.88,0.0,0.0,0.0,0.0,evaluation
0.89,0.0,0.0,0.0,0.0,evaluation
0.9,0.0,0.0,0.0,0.0,evaluation
0.91,0.0,0.0,0.0,0.0,evaluation
0.92,0.0,0.0,0.0,0.0,evaluation
0.93,0.0,0.0,0.0,0.0,evaluation
0.94,0.0,0.0,0.0,0.0,evaluation
0.95,0.0,0.0,0.0,0.0,evaluation
0.96,0.0,0.0,0.0,0.0,evaluation
0.97,0.0,0.0,0.0,0.0,evaluation
0.98,0.0,0.0,0.0,0.0,evaluation
0.99,0.0,0.0,0.0,0.0,evaluation
